Qty,Value,Device,Package,Parts,Description,DATASHEETURL,DATASHEETURL_ALTERNATIVE,Datasheet,MF,MPN,OC_FARNELL,OC_FARNELL_ALTERNATIVE,OC_NEWARK,PARTNO
2,2AT,01110005MR,01110005MR,"F1, F2",Fuse Holder,http://www.farnell.com/datasheets/32844.pdf,,,LITTELFUSE,01110005MR,2413914,01110005MR,,
1,236-406/000-023,236-406/000-023,P-236-406,X1,Stand: 01.01.2014. D,http://www.farnell.com/datasheets/63479.pdf,,WAGO236_Connector Banana Pro Power SATA-WAGO236-402_WAGO236-403_WAGO236-404#WAG.pdf,WAGO,236-406,1283529,,,
2,2.7k,R-EU_R0603,R0603,"R6, R7","RESISTOR, European s",http://www.farnell.com/datasheets/1697337.pdf,,,VISHAY,CRCW08052K70FKEA,1469891,,,
1,LM2676S,LM2676S,TO-263-7,U1,LM2676,http://www.farnell.com/datasheets/1972849.pdf,,,TEXAS INSTRUMENTS,LM2676S-5.0/NOPB,1564684,,,
1,CON 2x20,PINHD-2X20,2X20,JP1,PIN HEADER,http://www.farnell.com/datasheets/34967.pdf,,,HARWIN,M20-6112045,1569232,1569230,,
1,MAX1487EESA+,MAX481CSA,SO08,IC1,RS485 TRANSEIVER,http://www.farnell.com/datasheets/3976.pdf,,,MAXIM INTEGRATED PRODUCTS,MAX1487EESA+.,1593310,8452210,,MAX481CSA
3,LL4005G,DIODE-MELF-MLL41,MELF-MLL41,"D1, D3, D4",DIODE,http://www.farnell.com/datasheets/54126.pdf,,,TAIWAN SEMICONDUCTOR,LL4005G,1625106,,,
5,10k,R-EU_R0603,R0603,"R1, R2, R3, R4, R5","RESISTOR, European s",http://www.farnell.com/datasheets/1786677.pdf,,,TE CONNECTIVITY / NEOHM,CPF0603B10KE1,1697388,,,
1,0.1uF,08053C104KAT2A,805,C4,,http://www.farnell.com/datasheets/1679506.pdf,,,AVX,08053C104KAT2A,1740665,,,
1,52808-2570,52808-2570,52808-2570,J1,Molex 25pin header,http://www.farnell.com/datasheets/1631601.pdf,,,MOLEX,52808-2570,1757123,,,
1,233-502,233-502,P-233-502,X2,"Serie 233,  Klemmenl",http://www.farnell.com/datasheets/1731610.pdf,,,WAGO,233-502.,1777096,,,
1,0.01uF,GRM216R71H103KA01D,GRM216R71H103KA01D,C5,,http://www.farnell.com/datasheets/608985.pdf,,,MURATA,GRM216R71H103KA01D,1828948,,,
1,450mV,B340LB-13-F,SMB,D2,,http://www.farnell.com/datasheets/639175.pdf,http://www.diodes.com/datasheets/ds30240.pdf,,DIODES INC.,B340LB-13-F,1843684,,,
5,74HCT595D,74HCT595D,SO16,"IC2, IC3, IC4, IC5, IC6",8-bit SHIFT REGISTER,http://www.farnell.com/datasheets/1886263.pdf,,,NXP,74HCT595D,2098004,,,SMD HC 595
6,0.1uF,C-EUC0603,C0603,"C3, C7, C8, C9, C10, C11","CAPACITOR, European ",http://www.farnell.com/datasheets/1851736.pdf,,,KEMET,C0603C104K8RACTU,2112833,,,"SMD TAN.0,1/35"
1,SRR1280-150M,SRR1280-150M,SRR1280,L1,,http://www.farnell.com/datasheets/1681956.pdf,,,COILCRAFT,MSS1278-153MLD,2288501,,,
1,120R,R-EU_R1206,R1206,R10,"RESISTOR, European s",http://www.farnell.com/datasheets/1755795.pdf,,,TE CONNECTIVITY,CRGH1206F120R,2332128,,,
1,180.0 uF,16SVP180MSM_RADIAL_10MM,SM_RADIAL_10MM,C6,,http://www.farnell.com/datasheets/1734357.pdf,,,PANASONIC ELECTRONIC COMPONENTS,16SVP180MX,2354685,,,RAD FC 560/35
2,4.7 uF,GRM21BR61E475MA12L,GRM21BR61E475MA12L,"C1, C2",,http://www.farnell.com/datasheets/1754705.pdf,http://www.murata.com/products/catalog/pdf/c02e.pdf,,MURATA,GRM21BR61E475MA12L,2362111,,,
1,CON 2x10,PINHD-2X10,2X10,JP3,PIN HEADER,http://www.farnell.com/datasheets/1498835.pdf,,,TE CONNECTIVITY / AMP,5103308-5,2452432,9689621,,
2, MM5Z3V3,DIODE-SOD523,SOD523,"D5, D6",DIODE,http://www.farnell.com/datasheets/1934593.pdf,,,FAIRCHILD SEMICONDUCTOR,MM5Z3V3,2454004,,,
1,'',JP1E,JP1,JP2,JUMPER,http://www.farnell.com/datasheets/27856.pdf,,,TE CONNECTIVITY / AMP,825433-2,3417645,,,
2,1k,R-EU_R0603,R0603,"R8, R9","RESISTOR, European s",http://www.farnell.com/datasheets/1868787.pdf,,,YAGEO (PHYCOMP),RC0603FR-071KL.,9238484,,,
24,2.2k,R-EU_R0603,R0603,"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34","RESISTOR, European s",http://www.farnell.com/datasheets/1868787.pdf,,,YAGEO (PHYCOMP),RC0603FR-072K2L.,9238522,,,"SMD-0603 2,2K"
4,MOUNT-HOLE3.3,MOUNT-HOLE3.3,"3,3","H1, H2, H3, H4",MOUNTING HOLE with d,,,,,,unknown,,,
